created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-06-26 09:46:52 UTC,1,29.5,108,,,,,
2020-06-26 09:47:12 UTC,2,29.5,108,,,,,
2020-06-26 09:47:28 UTC,3,29.5,108,,,,,
2020-06-26 09:47:44 UTC,4,29.5,108,,,,,
2020-06-26 09:48:00 UTC,5,29.5,108,,,,,
2020-06-26 09:48:16 UTC,6,29.5,134,,,,,
2020-06-26 09:48:32 UTC,7,29.5,136,,,,,
2020-06-26 09:48:47 UTC,8,29.5,110,,,,,
2020-06-26 09:49:03 UTC,9,29.5,86,,,,,
2020-06-26 09:49:19 UTC,10,29.6,204,,,,,
2020-06-26 09:49:36 UTC,11,29.6,204,,,,,
2020-06-26 09:49:52 UTC,12,29.5,204,,,,,
2020-06-26 09:50:08 UTC,13,29.5,174,,,,,
2020-06-26 09:50:24 UTC,14,29.5,106,,,,,
2020-06-26 09:50:40 UTC,15,29.5,108,,,,,
2020-06-26 09:50:56 UTC,16,29.5,106,,,,,
2020-06-26 09:51:12 UTC,17,29.5,108,,,,,
2020-06-26 09:51:28 UTC,18,29.5,108,,,,,
2020-06-26 09:54:49 UTC,19,29.5,53,106,,,,
2020-06-26 09:55:05 UTC,20,29.5,54,108,,,,
2020-06-26 09:55:21 UTC,21,29.4,55,110,,,,
2020-06-26 09:55:37 UTC,22,29.4,43,86,,,,
2020-06-26 09:55:53 UTC,23,29.4,1,2,,,,
2020-06-26 09:56:09 UTC,24,29.4,59,118,,,,
2020-06-26 09:56:25 UTC,25,29.4,64,128,,,,
2020-06-26 09:56:40 UTC,26,29.4,66,132,,,,
2020-06-26 09:56:56 UTC,27,29.4,62,124,,,,
2020-06-26 09:57:11 UTC,28,29.4,54,108,,,,
2020-06-26 09:57:27 UTC,29,29.4,54,108,,,,
2020-06-26 09:57:43 UTC,30,29.4,73,146,,,,
2020-06-26 09:57:59 UTC,31,29.4,54,108,,,,
2020-06-26 09:58:15 UTC,32,29.4,54,108,,,,
2020-06-26 09:58:31 UTC,33,29.4,55,110,,,,
