created_at,entry_id,field2
2020-07-14 06:48:23 UTC,165,54
2020-07-14 06:48:39 UTC,166,54
2020-07-14 06:48:54 UTC,167,50
2020-07-14 06:49:10 UTC,168,55
2020-07-14 06:49:26 UTC,169,55
2020-07-14 06:49:42 UTC,170,41
2020-07-14 06:49:57 UTC,171,37
2020-07-14 06:50:13 UTC,172,59
2020-07-14 06:50:28 UTC,173,69
2020-07-14 06:50:43 UTC,174,68
2020-07-14 06:51:02 UTC,175,63
2020-07-14 06:51:18 UTC,176,72
2020-07-14 06:51:33 UTC,177,73
2020-07-14 06:51:49 UTC,178,73
2020-07-14 06:52:04 UTC,179,77
2020-07-14 06:52:19 UTC,180,83
2020-07-14 06:52:35 UTC,181,86
2020-07-14 06:52:54 UTC,182,81
2020-07-14 06:53:09 UTC,183,86
2020-07-14 06:53:25 UTC,184,102
2020-07-14 06:53:40 UTC,185,102
2020-07-14 06:53:55 UTC,186,102
2020-07-14 06:54:10 UTC,187,99
2020-07-14 06:54:26 UTC,188,84
2020-07-14 06:54:41 UTC,189,102
2020-07-14 06:54:57 UTC,190,46
2020-07-14 06:55:13 UTC,191,29
2020-07-14 06:55:28 UTC,192,53
2020-07-14 06:55:44 UTC,193,34
2020-07-14 06:56:00 UTC,194,54
2020-07-14 06:56:16 UTC,195,39
2020-07-14 06:56:32 UTC,196,53
2020-07-14 06:56:51 UTC,197,53
2020-07-14 06:57:06 UTC,198,71
2020-07-14 06:57:21 UTC,199,81
2020-07-14 06:57:36 UTC,200,87
2020-07-14 06:57:52 UTC,201,102
2020-07-14 06:58:07 UTC,202,102
2020-07-14 06:58:22 UTC,203,102
2020-07-14 06:58:38 UTC,204,102
2020-07-14 06:58:54 UTC,205,102
2020-07-14 06:59:09 UTC,206,102
2020-07-14 06:59:24 UTC,207,102
2020-07-14 06:59:40 UTC,208,102
2020-07-14 06:59:55 UTC,209,102
2020-07-14 07:00:11 UTC,210,44
2020-07-14 07:00:26 UTC,211,102
2020-07-14 07:00:41 UTC,212,102
2020-07-14 07:00:56 UTC,213,87
2020-07-14 07:01:12 UTC,214,83
2020-07-14 07:01:28 UTC,215,91
2020-07-14 07:01:43 UTC,216,95
2020-07-14 07:01:59 UTC,217,100
2020-07-14 07:02:14 UTC,218,102
2020-07-14 07:02:30 UTC,219,102
2020-07-14 07:02:45 UTC,220,93
2020-07-14 07:03:01 UTC,221,96
2020-07-14 07:03:16 UTC,222,88
2020-07-14 07:03:31 UTC,223,87
2020-07-14 07:03:47 UTC,224,90
2020-07-14 07:04:02 UTC,225,89
2020-07-14 07:04:17 UTC,226,102
2020-07-14 07:04:33 UTC,227,102
2020-07-14 07:04:48 UTC,228,102
2020-07-14 07:05:03 UTC,229,63
2020-07-14 07:05:19 UTC,230,57
2020-07-14 07:05:34 UTC,231,55
2020-07-14 07:05:50 UTC,232,61
2020-07-14 07:06:05 UTC,233,66
2020-07-14 07:06:20 UTC,234,102
2020-07-14 07:06:35 UTC,235,55
2020-07-14 07:06:51 UTC,236,55
2020-07-14 07:07:06 UTC,237,55
2020-07-14 07:07:22 UTC,238,54
2020-07-14 07:07:37 UTC,239,55
2020-07-14 07:07:53 UTC,240,102
2020-07-14 07:08:09 UTC,241,102
2020-07-14 07:08:24 UTC,242,102
2020-07-14 07:08:40 UTC,243,102
2020-07-14 07:08:55 UTC,244,102
2020-07-14 07:09:10 UTC,245,102
2020-07-14 07:09:26 UTC,246,102
2020-07-14 07:09:41 UTC,247,102
2020-07-14 07:09:56 UTC,248,102
2020-07-14 07:10:12 UTC,249,102
2020-07-14 07:10:27 UTC,250,102
2020-07-14 07:10:42 UTC,251,102
2020-07-14 07:10:57 UTC,252,102
2020-07-14 07:11:13 UTC,253,102
2020-07-14 07:11:28 UTC,254,102
2020-07-14 07:11:43 UTC,255,102
2020-07-14 07:11:58 UTC,256,102
2020-07-14 07:12:14 UTC,257,102
2020-07-14 07:12:29 UTC,258,102
2020-07-14 07:12:44 UTC,259,102
2020-07-14 07:12:59 UTC,260,102
2020-07-14 07:13:15 UTC,261,102
2020-07-14 07:13:31 UTC,262,76
2020-07-14 07:13:46 UTC,263,53
2020-07-14 07:14:02 UTC,264,53
